2013-03-06 19:59:29,244 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testSingleColumnValueFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,322 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testSingleColumnValueFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,323 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testColumnPaginationFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,324 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testColumnPaginationFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,325 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testColumnCountGetFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,330 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testColumnCountGetFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,331 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testColumnRangeFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,335 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testColumnRangeFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,335 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testDependentColumnFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,340 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testDependentColumnFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,341 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testFilterWrapper Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
